起运省,起运市,起运区县,目的省,目的市,目的区县,货物名称,运掌柜车长,运掌柜平台车型
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,4.2,厢式
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,4.2,厢式
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,5,厢式
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,5,厢式
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,6.2,厢式
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,6.2,厢式
广东省,东莞市,长安镇,上海市,上海市,浦东新区,冷藏货物,4.2,冷藏
广东省,东莞市,长安镇,上海市,上海市,奉贤区,冷藏货物,4.2,冷藏
广东省,东莞市,长安镇,上海市,上海市,浦东新区,普通货物,12.5,集装箱
广东省,东莞市,长安镇,上海市,上海市,奉贤区,普通货物,12.5,集装箱
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,4.2,厢式
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,4.2,厢式
广东省,佛山市,顺德区,上海市,上海市,浦东新区,普通货物,5,厢式
广东省,佛山市,顺德区,上海市,上海市,奉贤区,普通货物,5,厢式
广东省,佛山市,顺德区,上海市,上海市,浦东新区,冷藏货物,4.2,冷藏
广东省,佛山市,顺德区,上海市,上海市,奉贤区,冷藏货物,4.2,冷藏
广东省,佛山市,顺德区,上海市,上海市,浦东新区,冷藏货物,5,冷藏
广东省,佛山市,顺德区,上海市,上海市,奉贤区,冷藏货物,5,冷藏
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,6.8,厢式
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,6.8,厢式
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,16,厢式
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,16,厢式
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,4.2,厢式
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,4.2,厢式
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,7.7,厢式
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,7.7,厢式
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,8.7,厢式
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,8.7,厢式
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,16,厢式
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,16,厢式
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,4.2,厢式
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,4.2,厢式
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,5,厢式
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,5,厢式
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,6.2,厢式
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,6.2,厢式
广东省,惠州市,惠阳区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
广东省,惠州市,惠阳区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
广东省,江门市,新会区,上海市,上海市,浦东新区,普通货物,4.2,厢式
广东省,江门市,新会区,上海市,上海市,奉贤区,普通货物,4.2,厢式
广东省,汕头市,澄海区,上海市,上海市,浦东新区,普通货物,6.8,厢式
广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,6.8,厢式
广东省,汕头市,澄海区,上海市,上海市,浦东新区,普通货物,4.2,厢式
广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,4.2,厢式
广东省,汕头市,澄海区,上海市,上海市,浦东新区,普通货物,5,厢式
广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,5,厢式
广东省,汕头市,澄海区,上海市,上海市,浦东新区,冷藏货物,4.2,冷藏
广东省,汕头市,澄海区,上海市,上海市,奉贤区,冷藏货物,4.2,冷藏
广东省,汕头市,澄海区,上海市,上海市,浦东新区,冷藏货物,5,冷藏
广东省,汕头市,澄海区,上海市,上海市,奉贤区,冷藏货物,5,冷藏
广东省,汕头市,澄海区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
广东省,汕头市,澄海区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,6.8,厢式
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,6.8,厢式
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,7.7,厢式
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,7.7,厢式
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,8.7,厢式
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,8.7,厢式
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,13,厢式
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,13,厢式
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,16,厢式
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,16,厢式
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,4.2,厢式
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,4.2,厢式
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,5,厢式
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,5,厢式
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,6.2,厢式
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,6.2,厢式
广东省,深圳市,宝安区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
广东省,深圳市,宝安区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
广东省,肇庆市,高要区,上海市,上海市,浦东新区,普通货物,5,厢式
广东省,肇庆市,高要区,上海市,上海市,奉贤区,普通货物,5,厢式
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,6.8,厢式
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,6.8,厢式
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,7.7,厢式
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,7.7,厢式
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,8.7,厢式
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,8.7,厢式
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,16,厢式
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,16,厢式
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,4.2,厢式
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,4.2,厢式
广东省,中山市,小榄镇,上海市,上海市,浦东新区,普通货物,12.5,集装箱
广东省,中山市,小榄镇,上海市,上海市,奉贤区,普通货物,12.5,集装箱
广东省,珠海市,金湾区,上海市,上海市,浦东新区,普通货物,4.2,厢式
广东省,珠海市,金湾区,上海市,上海市,奉贤区,普通货物,4.2,厢式
广东省,珠海市,金湾区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
广东省,珠海市,金湾区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,16,厢式
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,16,厢式
广西壮族自治区,河池市,宜州区,上海市,上海市,浦东新区,普通货物,5,厢式
广西壮族自治区,河池市,宜州区,上海市,上海市,奉贤区,普通货物,5,厢式
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,6.8,厢式
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,6.8,厢式
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,7.7,厢式
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,7.7,厢式
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,8.7,厢式
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,8.7,厢式
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,16,厢式
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,16,厢式
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,12.5,集装箱
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,12.5,集装箱
广西壮族自治区,钦州市,浦北县,上海市,上海市,浦东新区,普通货物,13.7,集装箱
广西壮族自治区,钦州市,浦北县,上海市,上海市,奉贤区,普通货物,13.7,集装箱
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,6.8,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,6.8,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,7.7,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,7.7,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,8.7,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,8.7,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,16,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,16,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,5,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,5,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,6.2,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,6.2,厢式
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
广西壮族自治区,钦州市,钦南区,上海市,上海市,浦东新区,普通货物,13.7,集装箱
广西壮族自治区,钦州市,钦南区,上海市,上海市,奉贤区,普通货物,13.7,集装箱
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,8.7,厢式
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,8.7,厢式
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,12.5,集装箱
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,12.5,集装箱
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,6.8,厢式
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,6.8,厢式
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,7.7,厢式
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,7.7,厢式
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,8.7,厢式
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,8.7,厢式
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,16,厢式
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,16,厢式
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,6.2,厢式
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,6.2,厢式
湖南省,郴州市,苏仙区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
湖南省,郴州市,苏仙区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
湖南省,郴州市,资兴市,上海市,上海市,浦东新区,普通货物,7.7,厢式
湖南省,郴州市,资兴市,上海市,上海市,奉贤区,普通货物,7.7,厢式
湖南省,郴州市,资兴市,上海市,上海市,浦东新区,普通货物,6.2,厢式
湖南省,郴州市,资兴市,上海市,上海市,奉贤区,普通货物,6.2,厢式
江苏省,常州市,武进区,上海市,上海市,浦东新区,普通货物,4.2,厢式
江苏省,常州市,武进区,上海市,上海市,奉贤区,普通货物,4.2,厢式
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,6.8,厢式
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,6.8,厢式
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,13,厢式
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,13,厢式
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,5,厢式
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,5,厢式
江苏省,连云港市,连云区,上海市,上海市,浦东新区,普通货物,6.2,厢式
江苏省,连云港市,连云区,上海市,上海市,奉贤区,普通货物,6.2,厢式
江苏省,宿迁市,宿豫区,上海市,上海市,浦东新区,普通货物,6.8,厢式
江苏省,宿迁市,宿豫区,上海市,上海市,奉贤区,普通货物,6.8,厢式
江苏省,宿迁市,宿豫区,上海市,上海市,浦东新区,普通货物,6.2,厢式
江苏省,宿迁市,宿豫区,上海市,上海市,奉贤区,普通货物,6.2,厢式
江苏省,苏州市,吴江区,上海市,上海市,浦东新区,普通货物,6.8,厢式
江苏省,苏州市,吴江区,上海市,上海市,奉贤区,普通货物,6.8,厢式
江苏省,苏州市,吴江区,上海市,上海市,浦东新区,普通货物,7.7,厢式
江苏省,苏州市,吴江区,上海市,上海市,奉贤区,普通货物,7.7,厢式
江苏省,苏州市,吴江区,上海市,上海市,浦东新区,普通货物,8.7,厢式
江苏省,苏州市,吴江区,上海市,上海市,奉贤区,普通货物,8.7,厢式
江苏省,苏州市,吴江区,上海市,上海市,浦东新区,普通货物,13,厢式
江苏省,苏州市,吴江区,上海市,上海市,奉贤区,普通货物,13,厢式
江苏省,苏州市,吴江区,上海市,上海市,浦东新区,普通货物,16,厢式
江苏省,苏州市,吴江区,上海市,上海市,奉贤区,普通货物,16,厢式
江苏省,苏州市,吴江区,上海市,上海市,浦东新区,普通货物,4.2,厢式
江苏省,苏州市,吴江区,上海市,上海市,奉贤区,普通货物,4.2,厢式
江苏省,苏州市,吴江区,上海市,上海市,浦东新区,普通货物,5,厢式
江苏省,苏州市,吴江区,上海市,上海市,奉贤区,普通货物,5,厢式
江苏省,苏州市,吴江区,上海市,上海市,浦东新区,普通货物,6.2,厢式
江苏省,苏州市,吴江区,上海市,上海市,奉贤区,普通货物,6.2,厢式
江苏省,苏州市,吴江区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
江苏省,苏州市,吴江区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
江苏省,扬州市,江都区,上海市,上海市,浦东新区,普通货物,7.7,厢式
江苏省,扬州市,江都区,上海市,上海市,奉贤区,普通货物,7.7,厢式
江苏省,扬州市,江都区,上海市,上海市,浦东新区,普通货物,5,厢式
江苏省,扬州市,江都区,上海市,上海市,奉贤区,普通货物,5,厢式
江苏省,扬州市,江都区,上海市,上海市,浦东新区,普通货物,6.2,厢式
江苏省,扬州市,江都区,上海市,上海市,奉贤区,普通货物,6.2,厢式
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,6.8,厢式
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,6.8,厢式
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,7.7,厢式
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,7.7,厢式
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,8.7,厢式
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,8.7,厢式
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,13,厢式
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,13,厢式
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,16,厢式
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,16,厢式
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,4.2,厢式
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,4.2,厢式
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,6.2,厢式
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,6.2,厢式
江西省,赣州市,南康区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
江西省,赣州市,南康区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
江西省,南昌市,南昌县,上海市,上海市,浦东新区,冷藏货物,7.7,冷藏
江西省,南昌市,南昌县,上海市,上海市,奉贤区,冷藏货物,7.7,冷藏
山东省,青岛市,黄岛区,上海市,上海市,浦东新区,普通货物,6.8,厢式
山东省,青岛市,黄岛区,上海市,上海市,奉贤区,普通货物,6.8,厢式
山东省,青岛市,黄岛区,上海市,上海市,浦东新区,普通货物,7.7,厢式
山东省,青岛市,黄岛区,上海市,上海市,奉贤区,普通货物,7.7,厢式
山东省,青岛市,黄岛区,上海市,上海市,浦东新区,普通货物,4.2,厢式
山东省,青岛市,黄岛区,上海市,上海市,奉贤区,普通货物,4.2,厢式
山东省,青岛市,黄岛区,上海市,上海市,浦东新区,普通货物,5,厢式
山东省,青岛市,黄岛区,上海市,上海市,奉贤区,普通货物,5,厢式
山东省,青岛市,黄岛区,上海市,上海市,浦东新区,普通货物,6.2,厢式
山东省,青岛市,黄岛区,上海市,上海市,奉贤区,普通货物,6.2,厢式
山东省,泰安市,岱岳区,上海市,上海市,浦东新区,普通货物,4.2,厢式
山东省,泰安市,岱岳区,上海市,上海市,奉贤区,普通货物,4.2,厢式
山东省,泰安市,岱岳区,上海市,上海市,浦东新区,普通货物,5,厢式
山东省,泰安市,岱岳区,上海市,上海市,奉贤区,普通货物,5,厢式
山东省,威海市,环翠区,上海市,上海市,浦东新区,普通货物,4.2,厢式
山东省,威海市,环翠区,上海市,上海市,奉贤区,普通货物,4.2,厢式
山东省,烟台市,福山区,上海市,上海市,浦东新区,普通货物,4.2,厢式
山东省,烟台市,福山区,上海市,上海市,奉贤区,普通货物,4.2,厢式
上海市,上海市,松江区,上海市,上海市,浦东新区,普通货物,6.8,厢式
上海市,上海市,松江区,上海市,上海市,奉贤区,普通货物,6.8,厢式
上海市,上海市,松江区,上海市,上海市,浦东新区,普通货物,4.2,厢式
上海市,上海市,松江区,上海市,上海市,奉贤区,普通货物,4.2,厢式
上海市,上海市,松江区,上海市,上海市,浦东新区,普通货物,5,厢式
上海市,上海市,松江区,上海市,上海市,奉贤区,普通货物,5,厢式
上海市,上海市,松江区,上海市,上海市,浦东新区,普通货物,6.2,厢式
上海市,上海市,松江区,上海市,上海市,奉贤区,普通货物,6.2,厢式
上海市,上海市,松江区,上海市,上海市,浦东新区,冷藏货物,4.2,冷藏
上海市,上海市,松江区,上海市,上海市,奉贤区,冷藏货物,4.2,冷藏
上海市,上海市,松江区,上海市,上海市,浦东新区,冷藏货物,5,冷藏
上海市,上海市,松江区,上海市,上海市,奉贤区,冷藏货物,5,冷藏
上海市,上海市,松江区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
上海市,上海市,松江区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
上海市,上海市,松江区,上海市,上海市,浦东新区,普通货物,13,厢式
上海市,上海市,松江区,上海市,上海市,奉贤区,普通货物,13,厢式
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,6.8,厢式
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,6.8,厢式
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,8.7,厢式
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,8.7,厢式
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,13,厢式
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,13,厢式
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,16,厢式
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,16,厢式
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,4.2,厢式
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,4.2,厢式
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,5,厢式
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,5,厢式
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,6.2,厢式
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,6.2,厢式
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,6.2,集装箱
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,6.2,集装箱
陕西省,安康市,汉滨区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
陕西省,安康市,汉滨区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,13,厢式
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,13,厢式
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,16,厢式
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,16,厢式
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,4.2,厢式
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,4.2,厢式
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,5,厢式
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,5,厢式
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,6.2,厢式
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,6.2,厢式
浙江省,湖州市,南浔区,上海市,上海市,浦东新区,普通货物,12.5,集装箱
浙江省,湖州市,南浔区,上海市,上海市,奉贤区,普通货物,12.5,集装箱
浙江省,宁波市,北仑区,上海市,上海市,浦东新区,普通货物,7.7,厢式
浙江省,宁波市,北仑区,上海市,上海市,奉贤区,普通货物,7.7,厢式
浙江省,宁波市,北仑区,上海市,上海市,浦东新区,普通货物,4.2,厢式
