,,,
起始省份,起始省份,起始城市,起始城市
安徽,Anhui,安康,Ankang
福建,Fujian,北海,Beihai
广东,Guangdong,常州,Changzhou
广西,Guangxi,巢湖,Chaohu
河北,Hebei,郴州,Chenzhou
湖南,Hunan,东莞,Dongguan
江苏,Jiangsu,佛山,Foshan
江西,Jiangxi,赣州,Ganzhou
山东,Shandong,河池,Hechi
山西,Shanxi,河间,Hejian
上海,Shanghai,河源,Heyuan
浙江,Zhejiang,湖州,Huzhou
,,惠州,Huizhou
,,江门,Jiangmen
,,连云港,Lianyungang
,,南昌,Nanchang
,,宁波,Ningbo
,,平湖,Pinghu
,,浦北,Pubei
,,钦州,Qinzhou
,,青岛,Qingdao
,,泉州,Quanzhou
,,汕头,Shantou
,,上海,Shanghai
,,深圳,Shenzhen
,,石狮,Shishi
,,苏州,Suzhou
,,宿迁,Suqian
,,泰安,Tai'An
,,天长,Tianchang
,,威海,Weihai
,,温州,Wenzhou
,,宣城,Xuancheng
,,烟台,Yantai
,,扬州,Yangzhou
,,肇庆,Zhaoqing
,,中山,Zhongshan
,,珠海,Zhuhai
,,资兴,Zixing
