,LESS THAN TRUCKLOAD RATES,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rates to be awarded by MOT. Rates submitted must not be contingent upon bundled award.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Destinations,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SHDR DC1(Main DC):上海临港新城普洛斯临港物流园洋浩路575号
No.575 Yanghao Road, Pudong New District, Shanghai, China",,,,,,,,,,,,,,,,,,,,,,,,,,
,"TDSC DC:上海市奉贤区航塘公路3088号C栋3楼DISNEY STORE WAREHOUSE,KERRYEAS SHANGHAI DISTRIBUTION CENTER C3,3088 HANGTANG HIGHWAY,FENGXIAN DISTRICT, SHANGHAI",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SHDR DC1/TDSC DC,,,,,,,,,,,,,,,,,,,,,,
,Currency :RMB,Exclude VAT ,,,Rate (RMB),,,,蔡焱南8/27報價,,,王峰AP,,,,,,,一輪AR,,,,AR (RMB）,,,,
,Origin Province,Origin City,Sum of 2027 Projected vol(cbm),Historical No. of Shipments,Transit Days (excluding pick up day),Minimum Charge (RMB) excluding VAT,Rate (RMB) per Kg excluding VAT,,Transit Days (excluding pick up day),Minimum Charge (RMB) excluding VAT,Rate (RMB) per Kg excluding VAT,Transit Days (excluding pick up day),Minimum Charge (RMB) excluding VAT,Rate (RMB) per Kg excluding VAT,MIN價格,比對結果,KG Rate,比對結果,Minimum Charge (RMB) excluding VAT,Rate (RMB) per Kg excluding VAT,,利潤,Minimum Charge (RMB) excluding VAT,Rate (RMB) per Kg excluding VAT,平均每批貨量,預計營收,預計成本
AnhuiChaohu,Anhui,Chaohu,227.23304,11,2,500,0.35,华东 - 孙理想 ,2,300,0.35,2,400,0.399,300,蔡焱南,0.35,蔡焱南,550,0.39,,0.15,550,0.39,3443,14770.47,13255.55
AnhuiChuzhou,Anhui,Chuzhou,21.71286,2,2,500,0.35,华东 - 孙理想 ,2,300,0.35,2,400,0.42,300,蔡焱南,0.35,蔡焱南,550,0.39,,0.15,550,0.39,1810,1411.8,1267
AnhuiTianchang,Anhui,Tianchang,154.525826,20,2,500,0.38,华东 - 孙理想 ,2,300,0.38,2,400,0.42,300,蔡焱南,0.38,蔡焱南,550,0.42,,0.15,550,0.42,1288,11000,10000
AnhuiXuancheng,Anhui,Xuancheng,7.2174,2,2,500,0.35,华东 - 孙理想 ,2,300,0.35,2,400,0.42,300,蔡焱南,0.35,蔡焱南,550,0.39,,0.15,550,0.39,602,1100,1000
FujianQuanzhou,Fujian,Quanzhou,91.57886,10,2,450,1.1,华南 - 许建生,3,400,0.4725,3,400,0.4725,400,蔡焱南,0.4725,蔡焱南,495,1.21,,0.15,495,1.21,1527,18476.699999999997,16797
FujianShishi,Fujian,Shishi,86.01258,65,2,450,1.1,华南 - 许建生,3,400,0.4725,3,400,0.4725,400,蔡焱南,0.4725,蔡焱南,495,1.21,,0.15,495,1.21,221,32175,29250
FujianXiamen,Fujian,Xiamen,19.488026,8,2,450,1.1,华南 - 许建生,3,400,0.4725,3,400,0.4725,400,蔡焱南,0.4725,蔡焱南,495,1.21,,0.15,495,1.21,407,3960,3600
FujianZhangzhou,Fujian,Zhangzhou,105.749554,22,2,450,1.2,华南 - 许建生,3,400,0.4725,3,400,0.4725,400,蔡焱南,0.4725,蔡焱南,495,1.32,,0.15,495,1.32,802,23290.08,21172.8
GuangdongChaozhou,Guangdong,Chaozhou,203.643648,16,3,450,1.2,华南 - 许建生,3,400,0.504,4,400,0.504,400,蔡焱南,0.504,蔡焱南,495,1.32,,0.15,495,1.32,2122,44816.64,40742.4
GuangdongDongguan,Guangdong,Dongguan,3200.38755600001,450,3,450,1.2,华南 - 许建生,3,400,0.4725,4,400,0.4725,400,蔡焱南,0.4725,蔡焱南,495,1.32,,0.15,495,1.32,1186,704484,640440
